topic_id,title,description,text,subject_pred
1001,Mathematics Topic 1,This is an introductory explanation about Mathematics concept number 1.,Mathematics Topic 1 This is an introductory explanation about Mathematics concept number 1.,Mathematics
1002,Mathematics Topic 2,This is an introductory explanation about Mathematics concept number 2.,Mathematics Topic 2 This is an introductory explanation about Mathematics concept number 2.,Mathematics
1003,Mathematics Topic 3,This is an introductory explanation about Mathematics concept number 3.,Mathematics Topic 3 This is an introductory explanation about Mathematics concept number 3.,Mathematics
1004,Mathematics Topic 4,This is an introductory explanation about Mathematics concept number 4.,Mathematics Topic 4 This is an introductory explanation about Mathematics concept number 4.,Mathematics
1005,Mathematics Topic 5,This is an introductory explanation about Mathematics concept number 5.,Mathematics Topic 5 This is an introductory explanation about Mathematics concept number 5.,Mathematics
1006,Mathematics Topic 6,This is an introductory explanation about Mathematics concept number 6.,Mathematics Topic 6 This is an introductory explanation about Mathematics concept number 6.,Mathematics
1007,Mathematics Topic 7,This is an introductory explanation about Mathematics concept number 7.,Mathematics Topic 7 This is an introductory explanation about Mathematics concept number 7.,Mathematics
1008,Mathematics Topic 8,This is an introductory explanation about Mathematics concept number 8.,Mathematics Topic 8 This is an introductory explanation about Mathematics concept number 8.,Mathematics
1009,Mathematics Topic 9,This is an introductory explanation about Mathematics concept number 9.,Mathematics Topic 9 This is an introductory explanation about Mathematics concept number 9.,Mathematics
1010,Mathematics Topic 10,This is an introductory explanation about Mathematics concept number 10.,Mathematics Topic 10 This is an introductory explanation about Mathematics concept number 10.,Mathematics
1011,Biology Topic 1,This is an introductory explanation about Biology concept number 1.,Biology Topic 1 This is an introductory explanation about Biology concept number 1.,Biology
1012,Biology Topic 2,This is an introductory explanation about Biology concept number 2.,Biology Topic 2 This is an introductory explanation about Biology concept number 2.,Biology
1013,Biology Topic 3,This is an introductory explanation about Biology concept number 3.,Biology Topic 3 This is an introductory explanation about Biology concept number 3.,Biology
1014,Biology Topic 4,This is an introductory explanation about Biology concept number 4.,Biology Topic 4 This is an introductory explanation about Biology concept number 4.,Biology
1015,Biology Topic 5,This is an introductory explanation about Biology concept number 5.,Biology Topic 5 This is an introductory explanation about Biology concept number 5.,Biology
1016,Biology Topic 6,This is an introductory explanation about Biology concept number 6.,Biology Topic 6 This is an introductory explanation about Biology concept number 6.,Biology
1017,Biology Topic 7,This is an introductory explanation about Biology concept number 7.,Biology Topic 7 This is an introductory explanation about Biology concept number 7.,Biology
1018,Biology Topic 8,This is an introductory explanation about Biology concept number 8.,Biology Topic 8 This is an introductory explanation about Biology concept number 8.,Biology
1019,Biology Topic 9,This is an introductory explanation about Biology concept number 9.,Biology Topic 9 This is an introductory explanation about Biology concept number 9.,Biology
1020,Biology Topic 10,This is an introductory explanation about Biology concept number 10.,Biology Topic 10 This is an introductory explanation about Biology concept number 10.,Biology
1021,Physics Topic 1,This is an introductory explanation about Physics concept number 1.,Physics Topic 1 This is an introductory explanation about Physics concept number 1.,Physics
1022,Physics Topic 2,This is an introductory explanation about Physics concept number 2.,Physics Topic 2 This is an introductory explanation about Physics concept number 2.,Physics
1023,Physics Topic 3,This is an introductory explanation about Physics concept number 3.,Physics Topic 3 This is an introductory explanation about Physics concept number 3.,Physics
1024,Physics Topic 4,This is an introductory explanation about Physics concept number 4.,Physics Topic 4 This is an introductory explanation about Physics concept number 4.,Physics
1025,Physics Topic 5,This is an introductory explanation about Physics concept number 5.,Physics Topic 5 This is an introductory explanation about Physics concept number 5.,Physics
1026,Physics Topic 6,This is an introductory explanation about Physics concept number 6.,Physics Topic 6 This is an introductory explanation about Physics concept number 6.,Physics
1027,Physics Topic 7,This is an introductory explanation about Physics concept number 7.,Physics Topic 7 This is an introductory explanation about Physics concept number 7.,Physics
1028,Physics Topic 8,This is an introductory explanation about Physics concept number 8.,Physics Topic 8 This is an introductory explanation about Physics concept number 8.,Physics
1029,Physics Topic 9,This is an introductory explanation about Physics concept number 9.,Physics Topic 9 This is an introductory explanation about Physics concept number 9.,Physics
1030,Physics Topic 10,This is an introductory explanation about Physics concept number 10.,Physics Topic 10 This is an introductory explanation about Physics concept number 10.,Physics
1031,History Topic 1,This is an introductory explanation about History concept number 1.,History Topic 1 This is an introductory explanation about History concept number 1.,History
1032,History Topic 2,This is an introductory explanation about History concept number 2.,History Topic 2 This is an introductory explanation about History concept number 2.,History
1033,History Topic 3,This is an introductory explanation about History concept number 3.,History Topic 3 This is an introductory explanation about History concept number 3.,History
1034,History Topic 4,This is an introductory explanation about History concept number 4.,History Topic 4 This is an introductory explanation about History concept number 4.,History
1035,History Topic 5,This is an introductory explanation about History concept number 5.,History Topic 5 This is an introductory explanation about History concept number 5.,History
1036,History Topic 6,This is an introductory explanation about History concept number 6.,History Topic 6 This is an introductory explanation about History concept number 6.,History
1037,History Topic 7,This is an introductory explanation about History concept number 7.,History Topic 7 This is an introductory explanation about History concept number 7.,History
1038,History Topic 8,This is an introductory explanation about History concept number 8.,History Topic 8 This is an introductory explanation about History concept number 8.,History
1039,History Topic 9,This is an introductory explanation about History concept number 9.,History Topic 9 This is an introductory explanation about History concept number 9.,History
1040,History Topic 10,This is an introductory explanation about History concept number 10.,History Topic 10 This is an introductory explanation about History concept number 10.,History
1041,Chemistry Topic 1,This is an introductory explanation about Chemistry concept number 1.,Chemistry Topic 1 This is an introductory explanation about Chemistry concept number 1.,Chemistry
1042,Chemistry Topic 2,This is an introductory explanation about Chemistry concept number 2.,Chemistry Topic 2 This is an introductory explanation about Chemistry concept number 2.,Chemistry
1043,Chemistry Topic 3,This is an introductory explanation about Chemistry concept number 3.,Chemistry Topic 3 This is an introductory explanation about Chemistry concept number 3.,Chemistry
1044,Chemistry Topic 4,This is an introductory explanation about Chemistry concept number 4.,Chemistry Topic 4 This is an introductory explanation about Chemistry concept number 4.,Chemistry
1045,Chemistry Topic 5,This is an introductory explanation about Chemistry concept number 5.,Chemistry Topic 5 This is an introductory explanation about Chemistry concept number 5.,Chemistry
1046,Chemistry Topic 6,This is an introductory explanation about Chemistry concept number 6.,Chemistry Topic 6 This is an introductory explanation about Chemistry concept number 6.,Chemistry
1047,Chemistry Topic 7,This is an introductory explanation about Chemistry concept number 7.,Chemistry Topic 7 This is an introductory explanation about Chemistry concept number 7.,Chemistry
1048,Chemistry Topic 8,This is an introductory explanation about Chemistry concept number 8.,Chemistry Topic 8 This is an introductory explanation about Chemistry concept number 8.,Chemistry
1049,Chemistry Topic 9,This is an introductory explanation about Chemistry concept number 9.,Chemistry Topic 9 This is an introductory explanation about Chemistry concept number 9.,Chemistry
1050,Chemistry Topic 10,This is an introductory explanation about Chemistry concept number 10.,Chemistry Topic 10 This is an introductory explanation about Chemistry concept number 10.,Chemistry
